"CVE","CWE","Description","Chains","Weakness_Description"
"CVE-2021-0674","CWE-20","In alac decoder, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064237.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0674","CWE-125","In alac decoder, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06064258; Issue ID: ALPS06064237.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0676","CWE-20","In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0676","CWE-125","In geniezone driver, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05863009; Issue ID: ALPS05863009.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0677","CWE-190","In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-0677","CWE-125","In ccu driver, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05827154; Issue ID: ALPS05827154.","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-0678","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0678","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05722511.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0679","CWE-787","In apusys, there is a possible memory corruption due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05687781.","","possible memory corruption"
"CVE-2021-0895","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0895","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672003.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0896","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0896","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05671206.","CWE-20->CWE-787","out of bounds write due to a missing bounds check"
"CVE-2021-0900","CWE-20","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0900","CWE-125","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05672055.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0902","CWE-20","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0902","CWE-125","In apusys, there is a possible out of bounds read due to an incorrect bounds check. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656484.","CWE-20->CWE-125","out of bounds read due to an incorrect bounds check"
"CVE-2021-0903","CWE-20","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","CWE-20->CWE-787","possible out of bounds write due to a missing bounds check"
"CVE-2021-0903","CWE-787","In apusys, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS05672107; Issue ID: ALPS05656488.","CWE-20->CWE-787","possible out of bounds write due to a missing bounds check"
"CVE-2021-0955","CWE-362","In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","CWE-362->CWE-416","due to a race condition"
"CVE-2021-0955","CWE-416","In pf_write_buf of FuseDaemon.cpp, there is possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-192085766","CWE-362->CWE-416","due to a race condition"
"CVE-2021-0964","CWE-681","In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","CWE-681->CWE-122","heap buffer overflow"
"CVE-2021-0964","CWE-122","In C2SoftMP3::process() of C2SoftMp3Dec.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-9Android ID: A-193363621","CWE-681->CWE-122","heap buffer overflow"
"CVE-2021-1001","CWE-125","In PVInitVideoEncoder of mp4enc_api.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12Android ID: A-190435883","","out of bounds read due to a heap buffer overflow"
"CVE-2021-1047","CWE-190","In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-1047","CWE-125","In valid_ipc_dram_addr of cm_access_control.c, there is a possible out of bounds read due to an integer overflow. This could lead to local information disclosure with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-197966306References: N/A","CWE-190->CWE-125","out of bounds read due to an integer overflow"
"CVE-2021-20038","CWE-121","A Stack-based buffer overflow vulnerability in SMA100 Apache httpd server's mod_cgi module environment variables allows a remote unauthenticated attacker to potentially execute code as a 'nobody' user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances firmware 10.2.0.8-37sv, 10.2.1.1-19sv, 10.2.1.2-24sv and earlier versions.","","Stack-based buffer overflow"
"CVE-2021-20043","CWE-122","A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.","","method is vulnerable to heap-based buffer-overflow, due to unchecked use of strcat."
"CVE-2021-20046","CWE-121","A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","","Stack-based buffer overflow"
"CVE-2021-20048","CWE-121","A Stack-based buffer overflow in the SonicOS SessionID HTTP response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","","Stack-based buffer overflow"
"CVE-2021-21773","CWE-754","An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-754->CWE-787","a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption"
"CVE-2021-21773","CWE-787","An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-754->CWE-787","a buffer overflow caused by a missing null check for a size field. ... can lead to an out-of-bounds write ... can result in memory corruption"
"CVE-2021-21776","CWE-131","An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-131->CWE-787","out-of-bounds write"
"CVE-2021-21776","CWE-787","An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","CWE-131->CWE-787","out-of-bounds write"
"CVE-2021-21782","CWE-787","An out-of-bounds write vulnerability exists in the SGI format buffer size processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","","out-of-bounds write ... in the SGI format buffer size processing functionality"
"CVE-2021-21793","CWE-122","An out-of-bounds write vulnerability exists in the JPG sof_nb_comp header processing functionality of Accusoft ImageGear 19.8 and 19.9. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.","","out-of-bounds write"
"CVE-2021-21832","CWE-190","A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","memory corruption ... out-of-bounds write"
"CVE-2021-21832","CWE-122","A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","memory corruption ... out-of-bounds write"
"CVE-2021-21887","CWE-121","A stack-based buffer overflow vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow"
"CVE-2021-21889","CWE-121","A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow"
"CVE-2021-21890","CWE-121","A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletedir). An attacker can make an authenticated HTTP request to trigger this vulnerability.","","stack-based buffer overflow"
"CVE-2021-21891","CWE-20","A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21891","CWE-121","A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21892","CWE-20","A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21892","CWE-121","A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21901","CWE-121","A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to memcpy. An attacker can send a malicious packet to trigger this vulnerability.","","stack-based buffer overflow"
"CVE-2021-21903","CWE-20","A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21903","CWE-121","A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-21905","CWE-20","Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.","CWE-20->CWE-121","Stack-based buffer overflow"
"CVE-2021-21905","CWE-121","Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.","CWE-20->CWE-121","Stack-based buffer overflow"
"CVE-2021-21914","CWE-190","A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"
"CVE-2021-21914","CWE-122","A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"
"CVE-2021-21938","CWE-193","A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-193->CWE-122","heap-based buffer overflow"
"CVE-2021-21938","CWE-122","A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-193->CWE-122","heap-based buffer overflow"
"CVE-2021-21939","CWE-1284","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21939","CWE-131","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21939","CWE-122","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21943","CWE-1284","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21943","CWE-131","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21943","CWE-122","A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-1284->CWE-131->CWE-122","heap-based buffer overflow"
"CVE-2021-21947","CWE-129","Two heap-based buffer overflow vulnerabilities exists in the JPEG-JFIF lossless Huffman image parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger these vulnerabilities.This heap-based buffer overflow takes place when the `SOF3` precision is greater or equal than 9.","CWE-129->CWE-122","heap-based buffer overflow"
"CVE-2021-21947","CWE-122","Two heap-based buffer overflow vulnerabilities exists in the JPEG-JFIF lossless Huffman image parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger these vulnerabilities.This heap-based buffer overflow takes place when the `SOF3` precision is greater or equal than 9.","CWE-129->CWE-122","heap-based buffer overflow"
"CVE-2021-21948","CWE-190","A heap-based buffer overflow vulnerability exists in the readDatHeadVec functionality of AnyCubic Chitubox AnyCubic Plugin 1.0.0. A specially-crafted GF file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"
"CVE-2021-21948","CWE-122","A heap-based buffer overflow vulnerability exists in the readDatHeadVec functionality of AnyCubic Chitubox AnyCubic Plugin 1.0.0. A specially-crafted GF file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger this vulnerability.","CWE-190->CWE-122","heap-based buffer overflow"
"CVE-2021-21950","CWE-1284","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-123","out-of-bounds write"
"CVE-2021-21950","CWE-123","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-123","out-of-bounds write"
"CVE-2021-21951","CWE-1284","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-787","out-of-bounds write"
"CVE-2021-21951","CWE-787","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-787","out-of-bounds write"
"CVE-2021-21960","CWE-1284","A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","CWE-1284->CWE-121","stack-based buffer overflow"
"CVE-2021-21960","CWE-121","A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","CWE-1284->CWE-121","stack-based buffer overflow"
"CVE-2021-21961","CWE-121","A stack-based buffer overflow vulnerability exists in the NBNS functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","","stack-based buffer overflow"
"CVE-2021-21962","CWE-122","A heap-based buffer overflow vulnerability exists in the OTA Update u-download functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A series of specially-crafted MQTT payloads can lead to remote code execution. An attacker must perform a man-in-the-middle attack in order to trigger this vulnerability.","","heap-based buffer overflow"
"CVE-2021-22437","CWE-190","There is a software integer overflow leading to a TOCTOU condition in smartphones. Successful exploitation of this vulnerability may cause random address access.","CWE-190->CWE-367","software integer overflow leading to a TOCTOU condition"
"CVE-2021-22437","CWE-367","There is a software integer overflow leading to a TOCTOU condition in smartphones. Successful exploitation of this vulnerability may cause random address access.","CWE-190->CWE-367","software integer overflow leading to a TOCTOU condition"
"CVE-2021-23138","CWE-20","WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a stack-based buffer overflow, which may allow an attacker to remotely execute code.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-23138","CWE-121","WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a stack-based buffer overflow, which may allow an attacker to remotely execute code.","CWE-20->CWE-121","stack-based buffer overflow"
"CVE-2021-23157","CWE-122","WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a heap-based buffer overflow, which may allow an attacker to remotely execute code.","","vulnerable to a heap-based buffer overflow"
"CVE-2021-23158","CWE-415","A flaw was found in htmldoc in v1.9.12. Double-free in function pspdf_export(),in ps-pdf.cxx may result in a write-what-where condition, allowing an attacker to execute arbitrary code and denial of service.","","Double-free in function"
"CVE-2021-23165","CWE-122","A flaw was found in htmldoc before v1.9.12. Heap buffer overflow in pspdf_prepare_outpages(), in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","Heap buffer overflow"
"CVE-2021-23169","CWE-122","A heap-buffer overflow was found in the copyIntoFrameBuffer function of OpenEXR in versions before 3.0.1. An attacker could use this flaw to execute arbitrary code with the permissions of the user running the application compiled against OpenEXR.","","heap-buffer overflow"
"CVE-2021-23206","CWE-121","A flaw was found in htmldoc in v1.9.12 and prior. A stack buffer overflow in parse_table() in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","A stack buffer overflow"
"CVE-2021-24018","CWE-124","A buffer underwrite vulnerability in the firmware verification routine of FortiOS before 7.0.1 may allow an attacker located in the adjacent network to potentially execute arbitrary code via a specifically crafted firmware image.","","A buffer underwrite vulnerability"
"CVE-2021-26112","CWE-121","Multiple stack-based buffer overflow vulnerabilities [CWE-121] both in network daemons and in the command line interpreter of FortiWAN before 4.5.9 may allow an unauthenticated attacker to potentially corrupt control data in memory and execute arbitrary code via specifically crafted requests.","",""
"CVE-2021-26252","CWE-122","A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in pspdf_prepare_page(),in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","Heap buffer overflow"
"CVE-2021-26259","CWE-122","A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in render_table_row(),in ps-pdf.cxx may lead to arbitrary code execution and denial of service.","","Heap buffer overflow"
"CVE-2021-26347","CWE-1284","Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.","CWE-1284->CWE-190","Failure to validate the integer operand ... introduce an integer overflow"
"CVE-2021-26347","CWE-190","Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.","CWE-1284->CWE-190","Failure to validate the integer operand ... introduce an integer overflow"
"CVE-2021-26384","CWE-787","A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.","","potentially leading to out-of-bounds memory reads and writes"
"CVE-2021-26384","CWE-125","A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.","","potentially leading to out-of-bounds memory reads and writes"
"CVE-2021-26386","CWE-787","A malicious or compromised UApp or ABL may be used by an attacker to issue a malformed system call to the Stage 2 Bootloader potentially leading to corrupt memory and code execution.","","leading to corrupt memory"
"CVE-2021-26567","CWE-121","Stack-based buffer overflow vulnerability in frontend/main.c in faad2 before 2.2.7.1 allow local attackers to execute arbitrary code via filename and pathname options.","","Stack-based buffer overflow"
"CVE-2021-26635","CWE-843","In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.","CWE-843->CWE-121","due to the wrong use of the data type ... to cause a stack buffer overflow"
"CVE-2021-26635","CWE-121","In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.","CWE-843->CWE-121","due to the wrong use of the data type ... to cause a stack buffer overflow"
"CVE-2021-26727","CWE-121","Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Multiple command injections and stack-based buffer overflows"
"CVE-2021-26727","CWE-77","Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Multiple command injections and stack-based buffer overflows"
"CVE-2021-26728","CWE-121","Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and stack-based buffer overflow vulnerabilities"
"CVE-2021-26728","CWE-77","Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and stack-based buffer overflow vulnerabilities"
"CVE-2021-26729","CWE-121","Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and multiple stack-based buffer overflows"
"CVE-2021-26729","CWE-77","Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and multiple stack-based buffer overflows"
"CVE-2021-26730","CWE-121","A stack-based buffer overflow vulnerability in a subfunction of the Login_handler_func function of spx_restservice allows an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","A stack-based buffer overflow vulnerability"
